learning_rate,batch_size,hidden_size,num_stacked_layers,window_size,train_mse,val_mse,train_mae,val_mae
0.0001,16,32,1,5,0.07174775698687881,0.0653090224816249,0.3000744232535362,0.30878965900494504
0.0001,16,32,1,7,0.06833193859332526,0.05864432110236241,0.28936804268433125,0.28806398579707515
0.0001,16,32,1,10,0.06984055236846741,0.06109593722682733,0.2910492237733335,0.2945198302085583
0.0001,16,32,1,14,0.07036522594474566,0.057413286314560816,0.29381300214057166,0.28491030174952287
0.0001,16,32,1,20,0.07113400979978131,0.05742648200919995,0.2944847163050733,0.2838318347930908
0.0001,16,32,1,50,0.0785899764642392,0.04817340938517681,0.31178143638663175,0.25964385385696703
0.0001,16,32,2,5,0.06689984405005817,0.06084103395159428,0.2831676444411278,0.29123556270049167
0.0001,16,32,2,7,0.06962713277043432,0.05977363769824688,0.29233570533747577,0.2894127850349133
0.0001,16,32,2,10,0.06900217816974892,0.060274146210688814,0.2893320025534046,0.29061126021238476
0.0001,16,32,2,14,0.07204486595583148,0.05907816181962307,0.2974971149427195,0.2880498835673699
0.0001,16,32,2,20,0.07226705763667346,0.0587532205077318,0.29796420307235516,0.28468013726747954
0.0001,16,32,2,50,0.07799630017564972,0.04815039568795608,0.3102452622317686,0.2570100048413643
0.0001,16,32,3,5,0.06586697156133596,0.05973510472820355,0.27937880516052244,0.28590977650422317
0.0001,16,32,3,7,0.06898502762220343,0.0597635477494735,0.2906744597213609,0.287693318266135
0.0001,16,32,3,10,0.0694235010044079,0.06121534882829739,0.29060422841991695,0.29037310297672564
0.0001,16,32,3,14,0.0712231211073231,0.05854891254924811,0.29566043242812157,0.2845414922787593
0.0001,16,32,3,20,0.07169184296273012,0.05825556098268582,0.2963884636125666,0.28352468403486103
0.0001,16,32,3,50,0.07800340332749595,0.04837992257223679,0.3104926304119389,0.25641319958063274
0.0001,16,32,4,5,0.0661529498265736,0.06038892469727076,0.2799619987607002,0.28615894455176133
0.0001,16,32,4,7,0.07041287209781609,0.06053179674423658,0.29333705705951674,0.2888276301897489
0.0001,16,32,4,10,0.06712551510474664,0.05958863806266051,0.2854477401290621,0.2862070237214749
0.0001,16,32,4,14,0.07113061653217301,0.05862892232835293,0.29552599989498657,0.28394461136597854
0.0001,16,32,4,20,0.07173952656461204,0.05829366497122324,0.296507347771462,0.28397897000496203
0.0001,16,32,4,50,0.0778921539156993,0.048415981519680754,0.31023130111578034,0.25584985545048344
0.0001,16,64,1,5,0.06432105312858766,0.05723023013426708,0.27759854987263677,0.28175477798168475
0.0001,16,64,1,7,0.06651819239807677,0.05699219611974863,0.2848056420987966,0.2797987140142001
0.0001,16,64,1,10,0.06727677534752506,0.05925288667472509,0.2851898496856495,0.2853349928672497
0.0001,16,64,1,14,0.06866469420492649,0.05582805192814423,0.2892659806335966,0.27624968038155484
0.0001,16,64,1,20,0.07073689116402826,0.05746505366495022,0.29442885819267717,0.2793027013540268
0.0001,16,64,1,50,0.07737489756787332,0.04871013244757286,0.3096690907529214,0.25253304495261264
0.0001,16,64,2,5,0.04726132953539491,0.035723400803712696,0.22661306381225585,0.19674179989558
0.0001,16,64,2,7,0.06789234161319933,0.058838072447822645,0.2886726924655389,0.2802529071386044
0.0001,16,64,2,10,0.0657356498900763,0.05663051757101829,0.2814557830594024,0.27530505336247957
0.0001,16,64,2,14,0.0707754374598153,0.05838422720822004,0.29549574681247276,0.28055018186569214
0.0001,16,64,2,20,0.07099292212799985,0.05815323771765599,0.2953048088449113,0.2783795354458002
0.0001,16,64,2,50,0.07746177795343101,0.048519196561895885,0.3095739474747239,0.2530535493905728
0.0001,16,64,3,5,0.047801728897029536,0.033364965222202815,0.2294443877786398,0.20024036558774802
0.0001,16,64,3,7,0.06925420445028921,0.05995706812693523,0.29190285078116823,0.28491710470272946
0.0001,16,64,3,10,0.06687264938420635,0.058460993835559256,0.28509965812673377,0.28712631188906157
0.0001,16,64,3,14,0.07029728236617909,0.05821261511972317,0.2941109884219865,0.2792457617246188
0.0001,16,64,3,20,0.07138829172509624,0.058626544590179734,0.2961694973897427,0.2797910273075104
0.0001,16,64,3,50,0.07781320420184695,0.04990254227931683,0.3105560757401513,0.2520168572664261
0.0001,16,64,4,5,0.0396995479054749,0.025541921217854206,0.20244430616497994,0.17119238124443933
0.0001,16,64,4,7,0.06934308230268713,0.05999460658774926,0.2920722864112075,0.2854542239354207
0.0001,16,64,4,10,0.06646654849434841,0.05698265235584516,0.28349170362462806,0.28640129703741807
0.0001,16,64,4,14,0.07112043118346871,0.05877617631967251,0.29624883861591417,0.282460392667697
0.0001,16,64,4,20,0.07185577516979043,0.05913548142864154,0.29755914544171475,0.2808758295499362
0.0001,16,64,4,50,0.07789507927656991,0.04960829105514746,0.31055629653174704,0.25291114816298854
0.0001,16,128,1,5,0.038161105739418416,0.026558549215014163,0.1939992994070053,0.16425339992229754
0.0001,16,128,1,7,0.06260977634608898,0.052865089275515996,0.27615030664874585,0.26383371307299686
0.0001,16,128,1,10,0.06119892242535645,0.050776744404664405,0.270103749724067,0.26531561750632066
0.0001,16,128,1,14,0.0658863090648083,0.05239243318255131,0.2834711209870875,0.2675289179270084
0.0001,16,128,1,20,0.06854073170750857,0.054826097562909126,0.2899052824111695,0.27162089485388535
0.0001,16,128,1,50,0.07471561481858172,0.047612765517372355,0.3034530286563606,0.2437814290706928
0.0001,16,128,2,5,0.034231183603405956,0.02087028704297084,0.1824078144133091,0.15280616283416748
0.0001,16,128,2,7,0.05693026669608543,0.04460192500398709,0.263931969598848,0.24576614109369424
0.0001,16,128,2,10,0.06305322451136854,0.052808770193503454,0.2780971139365313,0.2851863606618001
0.0001,16,128,2,14,0.06722633299553611,0.05252226298818222,0.288307244113336,0.2703304829505774
0.0001,16,128,2,20,0.06696661222389245,0.052064429252193525,0.2868048111174969,0.26364025702843297
0.0001,16,128,2,50,0.07571959594355487,0.04963326024321409,0.3058961672572101,0.24503386708406302
0.0001,16,128,3,5,0.035267164669930934,0.020521415290064536,0.18883209772408008,0.1502284940618735
0.0001,16,128,3,7,0.05230431834577906,0.03969949412231262,0.2544689374614735,0.2533513376346001
0.0001,16,128,3,10,0.035834527013785374,0.022441380728895847,0.19506799802184105,0.16015529747192675
0.0001,16,128,3,14,0.06866188157194604,0.054541144090203136,0.29131805648406345,0.27518550936992353
0.0001,16,128,3,20,0.06846124610734826,0.0535438797221734,0.2904256875527666,0.26862134727147907
0.0001,16,128,3,50,0.07641631207519733,0.049907950684428215,0.30743574242039423,0.24681095435069159
0.0001,16,128,4,5,0.03633197572780773,0.022208615421102598,0.1942254000902176,0.15838688153486985
0.0001,16,128,4,7,0.036859979635646224,0.019136795344261024,0.19322991979365445,0.16392080256572136
0.0001,16,128,4,10,0.04589110569629286,0.04355326337883106,0.22694459603149064,0.24877121012944442
0.0001,16,128,4,14,0.0710789254590054,0.05768463531365761,0.2970570771334072,0.2832800757426482
0.0001,16,128,4,20,0.07184734384212246,0.05835126154124737,0.29804705685757577,0.2814924797186485
0.0001,16,128,4,50,0.07781920151035415,0.05035908348285235,0.31057912874512555,0.25130262397802794
0.0001,32,32,1,5,0.13323083266615868,0.11331415069954735,0.4627407419681549,0.42625799775123596
0.0001,32,32,1,7,0.13286502957344054,0.11559994838067464,0.46208067893981936,0.4296003707817623
0.0001,32,32,1,10,0.07379831682890653,0.06568636425903865,0.31418407380580904,0.31820196339062284
0.0001,32,32,1,14,0.10379776863070826,0.08132322398679596,0.40017316428323585,0.3638865351676941
0.0001,32,32,1,20,0.08139484065274398,0.06138351559638977,0.3370493169253071,0.3071324484688895
0.0001,32,32,1,50,0.09409638937740099,0.06072874367237091,0.37805013216677164,0.3129802814551762
0.0001,32,32,2,5,0.07230016214773059,0.06820859600390707,0.3057653933763504,0.31896230791296276
0.0001,32,32,2,7,0.07074730999767781,0.06384797766804695,0.2967541816830635,0.30182684106486185
0.0001,32,32,2,10,0.06862064871005714,0.06364709937146731,0.2877834974229336,0.3013202633176531
0.0001,32,32,2,14,0.07172500168477806,0.061013956155095785,0.2954660835675895,0.29560767327036175
0.0001,32,32,2,20,0.0705274081362101,0.0601663701236248,0.2931795893236995,0.2932231617825372
0.0001,32,32,2,50,0.07626951432653836,0.051236368981855254,0.30463079877552535,0.26694374637944357
0.0001,32,32,3,5,0.07121987955644726,0.06790640098708016,0.29858924508094786,0.31353895579065594
0.0001,32,32,3,7,0.07002255181781948,0.06337578834167548,0.29332082599401477,0.3006783255508968
0.0001,32,32,3,10,0.06831823491491378,0.0634610748716763,0.28643499553203583,0.30035717359610964
0.0001,32,32,3,14,0.07142957140846799,0.060708949608462195,0.295589169797798,0.2947024532726833
0.0001,32,32,3,20,0.07099156198091805,0.060659212725503106,0.29477355536073446,0.29486741977078573
0.0001,32,32,3,50,0.07595857690709333,0.05089816131762096,0.30413205176591873,0.26652044909340994
0.0001,32,32,4,5,0.06921799967065453,0.06603475606867246,0.29077697068452835,0.3068113327026367
0.0001,32,32,4,7,0.06956038192845881,0.06299937410014016,0.2919229969382286,0.2992930178131376
0.0001,32,32,4,10,0.06827462713234127,0.06337610179824489,0.28681643038988114,0.2998516431876591
0.0001,32,32,4,14,0.07093797417473979,0.06032910703548363,0.2943804853906234,0.29326388452734264
0.0001,32,32,4,20,0.07059196373059724,0.060351702251604626,0.29368701328833896,0.2929006261484964
0.0001,32,32,4,50,0.07606321932481867,0.05084705991404397,0.3043388392598856,0.267106369137764
0.0001,32,64,1,5,0.06975387745536864,0.06568732219082969,0.29758389711380007,0.3112291012491499
0.0001,32,64,1,7,0.07042036183178425,0.06345882692507335,0.29539657920598983,0.30197861577783314
0.0001,32,64,1,10,0.06978332341648638,0.06508062088063785,0.2891341298818588,0.3047708123922348
0.0001,32,64,1,14,0.07379127179350083,0.06240554553057466,0.30131443838278454,0.3019153837646757
0.0001,32,64,1,20,0.07211132102141467,0.06160131522587368,0.29758994095027447,0.2975569431270872
0.0001,32,64,1,50,0.07722043787084874,0.05188684032431671,0.3075190232623191,0.268610207097871
0.0001,32,64,2,5,0.06733280482701957,0.06333558846797262,0.2863642862439156,0.2995871199028833
0.0001,32,64,2,7,0.06944735357537865,0.06270070613494941,0.2921296149492264,0.29754152468272616
0.0001,32,64,2,10,0.06860121900215745,0.06379302803959165,0.28776301071047783,0.300258423600878
0.0001,32,64,2,14,0.07249654877038363,0.06164155687604632,0.29836256817604107,0.2960237371070044
0.0001,32,64,2,20,0.07147113436561388,0.0611402445605823,0.29609846137464046,0.2947091545377459
0.0001,32,64,2,50,0.07662513884272248,0.051373831395592005,0.3056925657604422,0.2673560529947281
0.0001,32,64,3,5,0.06640983427874744,0.062392220965453556,0.283005972802639,0.29453729944569723
0.0001,32,64,3,7,0.06878625990822912,0.062464545613953044,0.2905437296628952,0.29542515533311026
0.0001,32,64,3,10,0.06773151515051723,0.06314182707241603,0.2856878538429737,0.2965977979557855
0.0001,32,64,3,14,0.07092028462405627,0.06041169539093971,0.294506867416203,0.29152947877134594
0.0001,32,64,3,20,0.07041526940884069,0.06024023039000375,0.29343073566754657,0.29138254693576265
0.0001,32,64,3,50,0.07559028613780226,0.050722283710326464,0.30318394551674527,0.2649937633957182
0.0001,32,64,4,5,0.06775348097085952,0.06427602150610515,0.2863849824666977,0.29930480888911654
0.0001,32,64,4,7,0.06925363925285638,0.06280420614140374,0.29134567588567734,0.294920346566609
0.0001,32,64,4,10,0.06777881793677806,0.06325731160385269,0.28573319539427755,0.296458152788026
0.0001,32,64,4,14,0.07100150139497903,0.060694517833845954,0.2948005339130759,0.29027386009693146
0.0001,32,64,4,20,0.07081677527943005,0.060840580612421036,0.294502261094749,0.2916410246065685
0.0001,32,64,4,50,0.07608746091968246,0.05111884245915072,0.3045027025398754,0.26580849502767834
0.0001,32,128,1,5,0.06865552424453199,0.06402163154312543,0.29138632893562316,0.30335739467825207
0.0001,32,128,1,7,0.06783304383978248,0.06097326401088919,0.2883542388677597,0.2927888738257544
0.0001,32,128,1,10,0.06692827447317541,0.06201062990086419,0.28343380004167557,0.29445324199540274
0.0001,32,128,1,14,0.07010021413831662,0.05938644813639777,0.2927391502695779,0.289203194635255
0.0001,32,128,1,20,0.07136179457302205,0.06133921657289777,0.2959672699992855,0.29173190891742706
0.0001,32,128,1,50,0.07617243771840419,0.05125703795679978,0.3052728534454391,0.264747542994363
0.0001,32,128,2,5,0.05846600562334061,0.05204080364533833,0.2608645415306091,0.2594492456742695
0.0001,32,128,2,7,0.06778460457921028,0.06147552893630096,0.28867113769054414,0.2897252695901053
0.0001,32,128,2,10,0.06707511620596052,0.06253236212900706,0.284186826646328,0.29231284133025576
0.0001,32,128,2,14,0.0705891269511388,0.060274937855345864,0.29409017196546,0.287517854145595
0.0001,32,128,2,20,0.06872600959225868,0.05870487434523446,0.2895202348008752,0.2839067961488451
